t1_totalgold,t2_totalgold,t1_barons,t2_barons,t1_dragons,t2_dragons,t1_heralds,t2_heralds,t1_towers,t2_towers,t1_inhibitors,t2_inhibitors,t1_kills,t2_kills,t1_totalcs,t2_totalcs
50840,41802,1,0,4,0,1,0,8,1,2,0,13,2,929,897
58207,41807,1,0,2,2,1,0,11,11,3,3,20,5,931,860
59194,41825,2,0,3,0,1,0,11,0,3,0,17,1,975,930
53658,41852,1,0,1,2,0,0,7,7,1,1,23,7,889,815
52689,41931,1,0,1,2,1,0,9,9,1,1,10,9,961,828
54249,41970,1,0,3,1,0,0,10,10,2,2,15,1,957,875
57356,41976,1,0,4,0,0,0,10,10,2,2,17,2,942,859
54193,41993,1,0,1,2,1,0,10,10,2,2,16,6,911,857
53135,42002,1,0,3,1,1,0,11,11,3,3,20,5,786,820
57191,42031,1,0,2,1,0,0,10,10,2,2,20,6,963,823
53110,42036,1,0,0,2,1,0,10,10,2,2,20,10,812,780
55514,42125,1,0,3,1,1,0,9,9,1,1,20,6,905,782
56851,42133,1,0,4,0,0,0,10,10,2,2,20,6,998,787
54392,42197,1,0,4,0,1,0,9,9,2,2,14,4,984,891
54876,42272,1,0,2,1,0,1,10,10,2,2,16,10,914,745
56694,42737,1,0,3,1,1,0,10,1,2,0,14,4,1025,910
53401,42892,1,0,3,1,1,0,9,9,2,2,12,5,945,894
53232,42900,1,0,4,0,1,0,7,7,1,1,15,7,979,854
56252,42975,1,0,4,0,1,0,10,10,2,2,20,7,963,879
51044,42984,1,0,3,0,0,1,9,9,2,2,17,7,862,758
48942,43012,1,0,1,3,0,0,7,7,1,1,9,7,903,890
55907,43195,1,0,3,1,0,0,9,9,1,1,22,8,886,841
56755,43497,1,0,4,0,1,0,8,8,1,1,19,3,1027,924
56857,43604,1,0,4,0,1,0,10,10,2,2,16,5,963,853
58627,43673,1,0,3,1,1,0,10,10,1,1,26,10,873,748
56669,43687,1,0,2,2,1,0,9,9,2,2,22,7,896,825
57516,43834,1,0,4,0,1,0,9,9,1,1,20,8,956,802
61811,43887,1,0,4,0,0,0,10,10,1,1,33,8,843,760
57259,43904,1,0,3,0,1,0,11,11,3,3,20,6,927,812
58895,43967,1,0,4,0,1,0,8,8,1,1,21,5,989,870
59768,44095,2,0,4,0,1,0,11,0,3,0,16,8,1007,855
49397,44156,1,0,4,0,1,0,8,8,1,1,11,7,878,871
56190,44172,1,0,4,0,1,0,10,10,2,2,24,8,850,792
53942,44176,1,0,3,1,1,0,10,10,2,2,15,7,883,866
56112,44190,1,0,4,1,1,0,10,10,1,1,11,4,1024,888
59347,44243,1,0,1,2,1,0,10,10,2,2,26,6,915,887
55235,44254,1,0,2,1,0,0,11,11,2,2,16,4,870,901
51525,44261,1,0,4,0,1,0,7,7,1,1,16,7,908,854
58184,44267,1,0,4,0,0,1,9,9,2,2,16,4,989,895
55351,44316,1,0,2,2,1,0,8,2,1,0,24,12,842,792
53172,44322,1,0,2,2,1,0,9,9,1,1,16,7,887,856
56656,44328,1,0,3,1,1,0,11,11,3,3,18,8,970,876
58238,44382,2,0,3,1,1,0,11,11,4,4,12,5,1008,893
53171,44432,1,0,1,3,0,0,10,10,2,2,8,4,995,943
51203,44521,1,0,4,0,0,1,8,8,1,1,15,8,895,847
58651,44539,1,0,4,0,1,0,8,8,1,1,23,5,959,889
59145,44588,1,0,4,0,0,0,9,9,1,1,16,2,1082,944
55691,44589,1,0,1,3,1,0,11,11,3,3,10,3,1020,938
53564,44665,1,0,1,3,0,1,11,11,3,3,14,9,866,810
55589,44759,1,0,2,1,1,0,9,9,2,2,19,8,917,865
59395,44767,1,0,4,0,0,0,9,9,1,1,14,3,1041,931
50406,44824,1,0,3,1,1,0,8,8,1,1,9,8,935,894
54667,45029,1,0,4,0,0,0,10,10,2,2,21,8,878,833
55638,45042,1,0,2,2,1,0,10,3,2,0,15,3,943,938
54288,45106,1,0,3,1,1,0,10,10,2,2,9,3,955,989
55977,45154,0,1,2,0,1,0,9,9,2,2,24,12,886,726
58212,45196,1,0,2,1,1,0,11,11,2,2,13,6,1033,963
58685,45279,1,0,4,0,1,0,8,8,1,1,14,1,1025,931
54893,45307,0,0,3,1,1,0,7,7,1,1,12,2,1067,933
62204,45374,1,0,1,3,0,1,11,11,3,3,30,10,940,791
53615,45406,1,0,1,3,1,0,8,8,1,1,20,6,862,888
58290,45419,1,0,1,3,1,0,10,10,2,2,17,7,1025,864
58876,45420,1,0,3,1,1,0,9,9,2,2,22,9,962,813
55524,45434,1,0,3,1,0,0,11,11,3,3,15,3,919,919
59459,45464,1,0,4,0,0,0,10,10,2,2,19,3,987,888
59742,45564,1,0,1,3,1,0,10,10,2,2,19,5,990,959
59413,45576,1,0,4,0,1,0,10,10,2,2,19,5,1039,920
57572,45642,1,0,4,0,1,0,11,3,3,0,24,9,909,803
62011,45675,1,0,3,1,0,0,10,10,2,2,20,5,1022,898
52814,45677,1,0,4,0,1,0,7,7,1,1,11,7,902,862
57685,45719,0,0,2,2,0,1,8,1,1,0,16,4,1038,928
58875,45881,1,0,4,1,1,0,9,2,1,0,21,6,944,902
55999,45960,1,0,2,2,1,0,8,3,1,0,12,3,1062,979
58067,45985,1,0,3,1,0,0,8,8,1,1,19,6,976,908
58013,46098,1,0,2,2,1,0,9,9,2,2,26,14,845,806
55235,46130,1,0,3,1,1,0,8,8,1,1,19,8,927,847
54566,46235,1,0,3,1,0,1,10,10,1,1,6,1,1036,1044
56726,46246,1,0,3,1,1,0,9,9,2,2,11,3,1102,1022
58051,46340,1,0,1,4,0,1,9,9,1,1,13,4,1008,1008
59081,46365,1,0,4,0,1,0,9,1,2,0,18,5,1067,963
55615,46408,1,0,4,0,0,1,9,9,2,2,23,10,831,870
53172,46545,0,0,3,1,0,0,6,3,1,0,13,4,1042,958
54688,46640,1,0,2,1,1,0,9,9,1,1,20,12,870,809
